Titulo,Categoria,Url,Raciones,Ingredientes,Instrucciones
Tarta de hojaldre con melocotones,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-hojaldre-con-melocotones.html,,4 ingredientes: 1 hojaldre - 3 melocotones - 1 Cucharadas gelatina - 2 Cucharadas mermelada,Instrucciones: 1) Pinchamos la base del hojaldre con un tenedor. Ponemos otra hoja de papel encima y cubrimos toda la base con legumbres con la intención de que no suba el hojaldre. 2) Horneamos durante 30 minutos a 180º. 3) En lo que se hace el hojaldre preparamos la crema pastelera. Podemos hacerla al fuego o al microondas siguiendo las instrucciones que nos marca el envase. 4) Ponemos en un recipiente apto para el microondas 625 ml de leche y el contenido del sobre. Introducimos en el  microondas durante 5 min. a 600W de potencia (media-baja). Sacamos el recipiente removemos y añadimos otros 625 ml de leche.  5) Volvemos a calentar otros cinco minutos a la misma temperatura. Sacamos dejamos templar cinco minutos y vertemos los huevos. Mezclamos de nuevo. Reservamos. 6) Cortamos en láminas finas los melocotones en almíbar. Reservamos. 7) Cuando tengamos hecho el hojaldre sacamos del horno quitamos el papel con las legumbres de la superficie con mucho cuidado de no quemarnos. 8) Vertemos la mezcla del flan en su interior e introducimos de nuevo al horno durante 30 minutos a 180º. 9) Sacamos repartimos las láminas de melocotones por toda la superficie e introducimos otros 10 minutos a 200º. 10) Sacamos dejamos templar. 11) Vertemos la mermelada de melocotón en un vaso junto con dos cucharadas de agua. Calentamos unos segundos en el microondas.  12) Con la ayuda de un pincel pintamos toda la superficie de la tarta. 13) Dejamos enfriar completamente. Servimos y degustamos.  
Tarta de nueces y chocolate,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-nueces-y-chocolate.html,,6 ingredientes: 150 g Azúcar blanco - 150 g nueces - 100 g Mantequilla - 3 huevos - 2 cucharadas Harina - Una pizca de sal,Instrucciones: 1) Cuando terminemos mezclamos con la mitad del azúcar y una pizca de sal. 2) Colocamos la mantequilla en un vaso y disolvemos durante unos segundos en el microondas. Sacamos añadimos la otra mitad del azúcar y mezclamos bien. 3) Vertemos sobre la mezcla de nueces y añadimos los huevos de uno en uno. Es decir hasta que no tengamos integrado en la masa un huevo no añadimos otro. 4) Incorporamos la harina y mezclamos nuevamente. 5) Engrasamos un molde de 22 o 24 cm y vertemos la masa de la tarta. La Tarta de nuez y chocolate debe de quedar fina de dos centímetros de altura como mucho. 6) Introducimos el molde en el horno que tendremos precalentado a 200º durante 15-20 minutos. 7) Sacamos y dejamos enfriar. 8) Finalmente preparamos la cobertura de chocolate para ello derretimos el chocolate al baño maría o en el microondas. Añadimos la mantequilla y mezclamos muy bien.  9) Repartimos el chocolate sobre toda la superficie de la tarta y decoramos con unas nueces. 10) Dejamos enfriar nuevamente. Servimos y degustamos 
Flan de Queso sin horno,Dulces y postres,https://www.eladerezo.com/recetas/flan-de-queso-sin-horno.html,4,5 ingredientes: 500 ml Leche entera - 2 sobres cuajada - 400 g Queso Crema - 150 g Azúcar blanco - caramelo líquido,Instrucciones: 1) En cuanto empiece a humear y sin que llegue a hervir apartamos del fuego. 2) Añadimos el azúcar y el queso. Removemos bien con la ayuda de unas varillas hasta que se disuelva el queso. 3) Vertemos el contenido del vaso y mezclamos nuevamente. 4) Llevamos de nuevo el cazo al fuego hasta que comience a hervir removiendo constantemente. 5) Retiramos del fuego. 6) Caramelizamos un molde y vertemos en su interior la mezcla anterior. 7) Dejamos enfriar a temperatura ambiente hasta que el Flan de Queso cuaje por completo. 8) Guardamos en la nevera hasta su degustación. 9) Desmoldamos servimos y degustamos. 
Tarta de queso cremosa con frutos rojos,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-queso-cremosa-con-frutos-rojos.html,8,5 ingredientes: 200 ml Nata líquida para montar 35% M. G. - 500 g requeson - 180 g Azúcar blanco - 6 huevos - 1 Cucharada Vainilla líquida,Instrucciones: 1) Mezclamos en un cuenco amplio con la ayuda de una batidora o varillas el requesón los huevos el azúcar la vainilla y la nata. 2) Colocamos papel de horno en un molde de 22 o 24 cm. y recortamos el papel sobrante. 3) Vertemos la mezcla anterior en el molde. 4) Introducimos el molde en el horno. Bajamos la temperatura a 180º y dejamos hacer durante 70 minutos. 5) Comprobamos que la tarta de requesón está hecha si no estuviera dejamos hacer hasta que comprobamos que está cuajada por completo. 6) Dejamos enfriar en el interior del horno con la puerta entreabierta. 7) Sacamos dejamos enfriar por completo y guardamos en la nevera un par de horas antes de su consumo. 8) Lavamos los frutos rojos. Cortamos las fresas por la mitad y reservamos en un cuenco tapado con papel film en la nevera. 9) Cuando vayamos a servir la tarta de queso esparcimos los frutos rojos por encima. Servimos y degustamos. 
Greixonera  el postre típico de Ibiza,Dulces y postres,https://www.eladerezo.com/recetas/greixonera.html,6,7 ingredientes: 4 ensaimadas - 6 huevos - 1 l Leche entera - 400 g Azúcar blanco - 1 cucharada Canela molida - 1 Canela en rama - 2 limones,Instrucciones: 1) Caramelizamos 100 g de azúcar y cuando esté bien oscuro lo vertemos sobre el fondo de un molde de paredes altas. 2) Sobre el caramelo que se habrá enfriado ya desmenuzamos las ensaimadas en trozos no muy pequeños. 3) Batimos los huevos con el resto del azúcar. 4) Les añadimos la leche fría y mezclamos bien. 5) Vertemos esta mezcla en el molde sobre las ensaimadas. 6) Echamos la cucharada de canela y la ralladura de 1 limón 7) Cocemos la greixonera en el horno al baño María a una temperatura de 160º durante 2 horas o hasta que pinchándola con un palillo éste salga limpio. 8) También puedes hornearlo durante aproximadamente 45 minutos a 180º siendo conveniente  probar la cocción. 9) Antes de desmoldarlo dejamos que se enfríe. 
Flan de queso casero la receta de mamá,Dulces y postres,https://www.eladerezo.com/recetas/flan-de-queso-casero-2.html,6,4 ingredientes: 6 huevos - 400 g Leche entera - 300 g Queso Philadelphia - 10 cucharadas Azúcar blanco,"Instrucciones: 1) Ponemos a fuego medio alto y sin remover esperamos a que coja calor y empiecen a formarse pequeñas burbujas y el azúcar comience a tomar color. 2) Cuando suceda esto removemos suavemente con una cuchara de madera o unas varillas de silicona. Buscamos un caramelo ""rubio"" no ""castaño"" y mucho menos oscuro. Por ello este proceso tendrá que ser rápido. Cuanto el caramelo tenga el color de la miel retiramos la sartén del fuego añadimos unas gotas de zumo de limón y vertemos en la flanera. 3) Movemos la flanera con la intención de repartir el caramelo por las paredes de esta. 4) Dejamos enfriar el caramelo. 5) Mientras ponemos a cocer agua en un cazo y precalentamos el horno a 200º. 6) Echamos todos los ingredientes del flan en un cuenco y mezclamos con unas varillas tenedor o batidora. 7) Vertemos esta mezcla en la flanera. 8) El agua que teníamos puesto a cocer en un cazo lo vertemos en una fuente apta para el horno. De esta forma el flan se nos hará más rápido que si ponemos el baño maría frío en el horno. 9) Colocamos la flanera en el centro de la fuente con agua e introducimos en la parte más baja del horno. 10) Dejamos hacer el flan durante 70 minutos a 180º. 11) Pasado el tiempo apagamos el horno y dejamos templar el flan en su interior. Da igual si ""nos olvidamos de él"" por unas horas. 12) Sacamos y una vez frío completamente guardamos en la nevera unas cuantas horas antes de su consumo. 13) Es preferible hacer el flan de queso casero de un día para otro. De esta forma tanto su sabor su textura como su presencia aumentarán considerablemente. "
Puding de croissant,Dulces y postres,https://www.eladerezo.com/recetas/puding-de-croissant.html,6,7 ingredientes: 300 g Croissant - 1/2 l Leche entera - 3 huevos - 180 g Azúcar blanco - 1 Vaina de vainilla - 6 cucharadas Azúcar blanco - Agua,"Instrucciones: 1) Preparamos el caramelo echando las seis cucharadas de azúcar y dos de agua en un cazo os sartén. Llevamos al fuego y esperamos a que se nos haga un caramelo rubio. Cuidado con que no se nos queme el caramelo. Si es así tendremos que hacer el proceso de nuevo si no queremos un pudin amargo. 2) Cuando tengamos el caramelo listo vertemos sobre un molde alargado de unos 20 centímetros de largo. 3) Repartimos el caramelo bien por toda la base. Mientras se enfría y endurece unos cinco minutos más o menos preparamos la masa del pudin. 4) Echamos en un bol la leche con el azúcar los huevos los cruasanes y las semillas de la vaina de la vainilla. Esto último lo haremos abriendo longitudinalmente la vainilla por la mitad. Raspamos su interior con la punta de un cuchillo o una cuchara pequeña para sacar las semillas. 5) Trituramos con la ayuda de una batidora 6) Vertemos esta mezcla en el molde. 7) Introducimos el molde sobre la fuente que teníamos con agua en el horno. Bajamos la temperatura a 180º y horneamos durante 50 minutos aproximadamente o hasta que se cuaje por completo el pudin. 8) Una vez esté hecho el pudin de cruasanes sacamos del horno. Dejamos enfriar por completo mínimo tres horas antes de desmoldar. 9) Personalmente los pudines al igual que los flanes me gustan que estén ""reposados"". Es decir de un día para otro. Por esto cuando una vez hecho frío y sin desmoldar lo tapamos con papel film y guardamos en la nevera. 10) Antes de servir desmoldamos sobre una fuente o bandeja de presentación que tenga rebordes ya que el molde contiene caramelo líquido y no queremos que se nos desparrame sobre la encimera o la mesa. 11) Servimos y degustamos. 12) Podemos acompañar el Puding de croissant con helado nata o fruta fresca. "
Tarta de queso y chocolate o Choco Cheese Cake,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-queso-y-chocolate-o-choco-cheese-cake.html,6,6 ingredientes: 600 g Queso Philadelphia - 200 g chocolate - 1 cucharada cacao - 5 huevos - 120 g Azúcar glass - 200 ml Nata líquida para montar 35% M. G.,Instrucciones: 1) Colocamos un papel de horno en un molde desmontable de 22 cm. 2) Partimos la tableta de chocolate colocamos en un cuenco y deshacemos en el microondas con cuidado de que no se nos queme. Para ello lo mejor es hace periodos de 30 en 30 segundos hasta que esté el chocolate deshecho. 3) En otro cuenco ponemos el queso crema la nata los huevos el cacao puro y el azúcar. 4) Mezclamos bien con la ayuda de unas varillas o una batidora. 5) Incorporamos el chocolate y mezclamos de nuevo hasta obtener una masa homogénea. 6) Vertemos la masa en el molde. Horneamos durante 50 - 60 minutos a 180º. 7) Dejamos templar la tarta de queso y chocolate en el interior del horno con la puerta entre abierta durante otros 20 minutos. 8) Sacamos dejamos enfriar desmoldamos y a degustar... 9) Te recomiendo que la dejes reposar una vez fría como mínimo durante 12 horas en el frigo. 10) Nosotros solemos preparar las tartas de queso de un día para otro. 
Receta de Bizcocho de Piñones o Torta Pisana,Dulces y postres,https://www.eladerezo.com/recetas/bizcocho-de-pinones-2.html,8,9 ingredientes: 350 g harina de trigo - 120 g Mantequilla - 1 sobre levadura - 275 g Azúcar glass - 2 huevos - 60 ml Nata líquida para montar 35% M. G. - 100 g Piñones - Unas gotas Vainilla líquida - Azúcar blanco,Instrucciones: 1) Tamizamos sobre un cuenco grande la harina y la levadura. 2) En otro cuenco grande y con la ayuda de unas varillas batimos la mantequilla con el azúcar glass hasta conseguir una pasta esponjosa y pálida. 3) Separamos las claras de las yemas. Estas últimas las añadimos a la pasta anterior. Mezclamos. 4) Incorporamos poco a poco la harina y la nata. 5) Montamos las claras a punto de nieve y lo añadimos a la mezcla anterior. 6) Colocamos papel de horno en un molde (de 24-26 ct.) y vertemos la masa. 7) Esparcimos por encima los piñones y un poco de azúcar. 8) Horneamos durante 50 minutos o hasta que comprobemos que está hecho el bizcocho. 9) Sacamos y dejamos enfriar a temperatura ambiente antes de su degustación. 
Tarta de crema y piñones,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-crema-y-pinones.html,,8 ingredientes: 300 g harina de trigo - 80 g Azúcar glass - 1 Cucharadita levadura - 150 g Mantequilla - 1 Huevo - 1 yema de huevo - 1 limón - sal,"Instrucciones: 1) Formamos un hueco en el centro tipo volcán donde añadiremos la mantequilla el huevo y la yema y la ralladura de limón. 2) Amasamos bien hasta conseguir una masa más o menos homogénea envolvemos en film transparente. 3) En lo que reposa nos pondremos con el relleno. Vertemos la leche en un cazo. Cortamos la mitad de la piel de un limón y la incorporamos al cazo. Hervimos durante un par de minutos retiramos del fuego. 4) Batimos en un cuenco con la ayuda de unas varillas las yemas con el azúcar glas. Incorporamos la harina y la vainilla y mezclamos. 5) Vertemos la leche en la mezcla anterior removemos bien hasta que se integren todos los ingredientes y vertemos de nuevo en el cazo. 6) Llevamos de nuevo al fuego (medio-bajo) y sin dejar de remover con las varillas esperamos a que espese. 7) Retiramos la crema del fuego y dejamos templar removiendo de vez en cuando para que  no se nos forme ""costra"" en lo que preparamos la masa. 8) Precalentamos el horno a 180º. 9) Colocamos una lámina de papel de horno sobre la encimera y en el centro de este la masa sin papel film. 10) Estiramos suavemente con la ayuda de un rodillo. 11) Ponemos encima otra lámina de papel de horno y estiramos hasta conseguir una masa fina y más o menos del tamaño del papel. 12) Colocamos encima del molde procurando que la masa cubra todo del interior y paredes del mismo. 13) Quitamos la lámina superior.  Vertemos la crema y esparcimos por encima unos cuantos piñones. 14) Introducimos en el horno durante 40-45 minutos hasta que se dore. 15) Preparamos el merengue batiendo las claras (1 de la masa + 4 del relleno) con unas varillas y el azúcar glas. Reservamos en una manga pastelera en el frigo. 16) Sacamos la tarta del horno esparcimos el merengue por encima. Rallamos el resto de la piel de limón y esparcimos los piñones que  nos quedan. 17) Doramos en el  horno durante otros 5-10 minutos. 18) Sacamos y dejamos enfriar. 19) Servimos y degustamos. "
